amount,location_distance,device_mismatch,velocity,unusual_time,new_merchant,failed_logins,ip_risk,behavior_score,fraud
2745.071229516849,0.0,0,2,0,0,0,0,0,0
1792.603548243223,0.0,0,2,1,0,1,0,2,0
2971.5328071510385,0.0,0,3,0,0,0,1,1,0
4284.544784612038,0.0,0,2,0,0,2,0,2,0
1648.769937914996,19.6565816364349,0,2,0,0,0,0,0,0
1648.7945645762293,0.0,0,2,1,0,0,0,1,0
4368.819223261087,25.96965302101185,0,3,0,0,1,0,1,0
3151.152093729363,14.755496421686763,0,2,1,0,0,0,1,0
1295.7884210975717,0.0,0,0,0,0,0,0,0,0
2813.8400653789467,2.1694072532430515,0,1,0,0,0,0,0,0
1304.8734607813067,36.96643615282066,0,4,0,0,0,0,0,0
1301.4053696446147,19.670956270117316,0,2,0,1,0,0,0,0
2362.943407349051,5.175673097962957,0,2,0,0,0,0,0,0
100.0,0.24633366078031393,0,1,0,0,0,0,0,0
100.0,6.532181409033193,0,1,0,0,1,1,2,0
1156.568706138541,0.0,0,2,1,1,0,0,1,0
480.75331949836436,0.0,0,1,1,0,0,0,1,0
2471.370998892911,45.84355821069462,1,1,1,1,0,0,2,1
637.9638867181836,8.10649998398803,0,3,0,0,1,0,1,0
100.0,12.962945302450741,0,3,0,0,0,0,0,0
4198.473153382331,3.8418450024618256,0,1,0,0,0,0,0,0
1661.3355492701965,0.0,0,3,0,0,0,0,0,0
2101.2923070318857,1.2815103810245851,0,3,1,0,0,0,1,0
100.0,0.0,0,2,1,0,1,0,2,0
1183.425913212226,50.54172996106609,0,1,0,1,0,0,0,0
2166.3838845647992,0.0,0,3,1,0,0,0,1,0
273.50963386654576,0.0,0,2,0,0,0,0,0,0
2563.547027518508,0.0,0,2,0,0,1,0,1,0
1099.0419651217926,30.76151449704755,0,2,1,0,1,0,2,0
1562.4593753100849,5.290179985253083,0,3,0,0,1,0,1,0
1097.4400816559046,0.0,1,1,0,0,0,0,1,1
4778.417276763406,30.08676721514679,0,3,0,0,1,0,1,0
1979.7541628930992,19.620012535709627,0,1,0,0,0,0,0,0
413.43360656614936,15.768699144329048,0,5,0,0,3,0,3,1
3233.8173681547833,19.31468482341681,0,2,0,0,0,0,0,0
168.73452504346665,52.88723801164902,0,1,0,0,0,0,0,0
2313.2953925071333,48.701897900722244,0,2,0,0,0,0,0,0
100.0,0.0,0,2,0,0,0,0,0,0
100.0,37.47769985622305,0,1,1,0,0,0,1,0
2295.291853803685,12.663363795178007,0,0,0,0,0,0,0,0
3107.6998699931155,14.981916322754987,0,2,0,0,0,0,0,0
2257.0524217849556,0.0,0,3,0,0,0,0,0,0
1826.5275764176392,1.5922846922360807,0,1,1,1,0,0,1,0
1548.3444566160667,0.0,0,2,0,1,1,0,1,0
100.0,21.561176297866183,0,4,1,1,0,1,2,0
920.2336874079369,26.4216100080561,0,2,0,0,0,0,0,0
1309.0418435603187,0.0,0,2,0,0,0,0,0,0
3585.6833393283737,4.559302719914591,0,2,0,0,0,0,0,0
2515.427434352692,27.43723009588504,0,2,0,0,0,0,0,0
100.0,1.2664207537311007,0,3,0,0,0,0,0,0
2486.1259540921924,19.58127290004729,0,2,0,0,1,0,1,0
1422.3765793755251,12.02330935254168,0,1,0,1,0,0,0,0
984.6169995410619,11.833204639052527,0,2,0,0,0,0,0,0
2917.5144332613017,0.0,0,2,0,0,1,0,1,0
3546.4992837439268,0.0,1,1,0,0,1,0,2,1
3396.920178674298,0.0,1,2,0,0,0,0,1,1
741.1737151660423,19.187050289106345,0,0,0,0,0,0,0,0
1536.181436223178,5.389165110377663,1,4,0,0,0,0,1,1
2496.895147105346,2.229755107855505,0,3,0,1,0,0,0,0
3463.317690683539,0.0,0,2,0,0,0,0,0,0
1281.238643232065,0.0,0,5,0,0,1,0,1,0
1721.5115350042743,25.938235889762787,0,4,0,1,0,0,0,0
340.49753899095776,0.0,0,2,1,0,0,0,1,0
205.6900638789939,0.0,0,1,0,0,0,0,0,0
3218.788733591297,19.873035510803465,0,0,0,0,0,0,0,0
4034.3600428562345,0.9024667227056558,0,0,0,0,0,0,0,0
1891.9848176294993,5.627917310655529,0,2,0,0,0,0,0,0
3505.2993468380364,37.15156612799021,0,0,1,0,0,0,1,0
2542.4540375714514,4.588788852989857,0,4,0,0,1,0,1,0
1032.3203680923136,10.783673462374507,0,1,0,0,0,0,0,0
2542.093408262621,0.0,1,2,0,0,1,0,2,1
4307.054849698954,0.6066109529807973,0,3,0,0,0,0,0,0
1946.2609413350726,17.190520904172025,0,2,0,0,0,1,1,0
4346.965483721009,0.0,0,5,0,0,2,0,2,0
100.0,9.016901862314192,0,1,0,0,0,0,0,0
3232.8537565628358,7.015821452896126,0,0,0,0,0,0,0,0
2130.570602357257,5.825749111748788,0,3,0,0,0,0,0,0
1551.4889743011988,25.743177973164862,0,2,0,0,0,1,1,0
2137.6411648032536,11.68877029697043,0,3,0,0,0,0,0,0
100.0,34.56143796712888,0,2,0,0,0,0,0,0
1670.492168243732,0.0,0,0,0,0,0,0,0,0
